brand,product_name,finish,skin_type,price_range,ingredients,ingredients_source,fragrance_free,hypoallergenic,derm_tested,where_to_buy,open_beauty_facts_url,source
Charlotte Tilbury,Brightening Youth Glow Primer,dewy,"[""normal"", ""misto""]",$55-$59,-Chlorella and Vitamin B3: Provide anti-aging and anti-redness benefits.Water- Dimethicone- Cyclopentasiloxane- Polysilicone-11- Butylene Glycol- Glycerin- Silica- Mica- Squalane- Titanium Dioxide (CI 77891)- Nylon-12- Isononyl Isononanoate- Phenoxyethanol- Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer- Sodium Potassium Aluminum Silicate- Avena Sativa (Oat) Kernel Extract- Ethylhexylglycerin- Isohexadecane- PEG-10 Dimethicone- Tocopheryl Acetate- Carbomer- Polysorbate 60- Polysorbate 40- Hydrolyzed Viola Tricolor Extract- Caramel- Allantoin- Aloe Barbadensis Leaf Juice- Disodium Edta- Camellia Oleifera Seed Oil- Rosa Canina Fruit Oil- Ammonium Polyacryloyldimethyl Taurate- Nylon-12 Fluorescent Brightener 230 Salt- Sodium Hydroxide- Iron Oxides (CI 77491- CI 77492- CI 77499)- Sodium Hyaluronate- Sodium Lactate- Sorbitan Isostearate- Coco-Glucoside- Fragrance- Polyvinylalcohol Crosspolymer- Helianthus Annuus (Sunflower) Seed Oil- Palmitoyl Oligopeptide- Palmitoyl Tetrapeptide-7- Rosa Damascena Flower Oil- Tocopherol- Plumeria Rubra Flower Extract- Anthemis Nobilis Flower Oil- Nicotiana Sylvestris Leaf Cell Culture- Citronellol.,sephora,False,,,https://www.sephora.com/product/brightening-youth-glow-primer-P434527?icid2=products grid:p434527,,sephora/open-dataset
Charlotte Tilbury,Wonderglow Face Primer,hydrating,"[""seco""]",$55-$59,-BioNymph Peptide Complex: Has anti-aging properties and supports natural collagen- which contributes to skin elasticity.-Hyaluronic Acid- Wild Pansy- Rosehip- and Camellia: Seal in moisture to regenerate and renew dry- dull skin. Water- Dimethicone- Cyclopentasiloxane- Polysilicone-11- Butylene Glycol- Glycerin- Silica- Mica- Squalane- Titanium Dioxide (CI 77891)- Nylon-12- Isononyl Isononanoate- Phenoxyethanol- Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer- Sodium Potassium Aluminum Silicate- Avena Sativa (Oat) Kernel Extract- Ethylhexylglycerin- Isohexadecane- PEG-10 Dimethicone- Tocopheryl Acetate- Carbomer- Polysorbate 60- Polysorbate 40- Hydrolyzed Viola Tricolor Extract- Caramel- Allantoin- Aloe Barbadensis Leaf Juice- Disodium Edta- Camellia Oleifera Seed Oil- Rosa Canina Fruit Oil- Ammonium Polyacryloyldimethyl Taurate- Nylon-12 Fluorescent Brightener 230 Salt- Sodium Hydroxide- Iron Oxides (CI 77491- CI 77492- CI 77499)- Sodium Hyaluronate- Sodium Lactate- Sorbitan Isostearate- Coco-Glucoside- Fragrance- Polyvinylalcohol Crosspolymer- Helianthus Annuus (Sunflower) Seed Oil- Palmitoyl Oligopeptide- Palmitoyl Tetrapeptide-7- Rosa Damascena Flower Oil- Tocopherol- Plumeria Rubra Flower Extract- Anthemis Nobilis Flower Oil- Nicotiana Sylvestris Leaf Cell Culture- Citronellol.,sephora,False,,,https://www.sephora.com/product/wonderglow-face-primer-P434004?icid2=products grid:p434004,,sephora/open-dataset
Ciaté London,Watermelon Burst Hydrating Primer,hydrating,"[""seco""]",$25-$29,Water- Butylene Glycol- Glycerin- Hamamelis Virginiana (Witch Hazel) Extract- Phenoxyethanol- PEG-40 Hydrogenated Castor Oil- Acrylates/C10-30 Alkyl Acrylate Crosspolymer- Chlorphenesin- Alcohol- Niacinamide- Benzophenone-4- Sodium Hydroxide- Fragrance (Parfum)- Tocopheryl Acetate- Pentylene Glycol- Trisodium Ethylenediamine Disuccinate- Trehalose- Urea- Agar- Aluminum Starch Octenylsuccinate- Serine- Citrullus Lanatus (Watermelon) Fruit Extract- Disodium EDTA- Algin- Caprylyl Glycol- Disodium Phosphate- Glyceryl Polyacrylate- Pullulan- Sodium Hyaluronate- Synthetic Fluorphlogopite- Polyquaternium-39- Potassium Phosphate- Sodium Benzoate- Tin Oxide- Limonene- Linalool- Iron Oxides (CI 77499)- Red 4 (CI 14700)- Titanium Dioxide (CI 77891)- Yellow 5 (CI 19140).,sephora,False,,,https://www.sephora.com/product/watermelon-burst-hydrating-primer-P446306?icid2=products grid:p446306,,sephora/open-dataset
Cinema Secrets,Super Sealer Mattifying Setting Spray,natural,"[""oleoso"", ""seco""]",$20-$24,Water- Denatured Alcohol Sd40- Acrylates/Octylacrylamide Copolymer- Triethanolomine- Propylene Glycol- Propanediol- Polysorbate 20- Caprylyl Glycol- Phenoxyethanol- Hexylene Glycol.,sephora,,,,https://www.sephora.com/product/super-sealer-mattifying-setting-spray-P402980?icid2=products grid:p402980,,sephora/open-dataset
Clarins,Instant Smooth Perfecting Touch,matte,"[""normal"", ""misto""]",$35-$39,-Acacia Micro-Pearls: Temporarily refine skin texture filling in fine lines and wrinkles.-Pink Pearl Pigments: Optically minimize fine lines and wrinkles while softening facial features.-Vitamin E: Protects skin while keeping it comfortable. Cyclopentasiloxane- Dimethicone- Dimethicone/Vinyl Dimethicone Crosspolymer- Hydrogenated Vegetable Oil- Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer- Silica- Disteardimonium Hectorite- Pentaerythrityl Tetraisostearate- Alcohol- Tocopheryl Acetate- Butylene Glycol- Silica Dimethyl Silylate- Acacia Senegal Gum- Phenoxyethanol- Caprylyl Glycol- Hexylene Glycol- Ci 77019/Mica- Ci 77491/Iron Oxide- Ci 77891/Titanium Dioxide- Ci 75470/Carmine.,sephora,,,,https://www.sephora.com/product/instant-smooth-perfecting-touch-P130909?icid2=products grid:p130909,,sephora/open-dataset
Dermalogica,Skinperfect Primer SPF 30,natural,"[""oleoso"", ""misto"", ""seco"", ""normal""]",$50-$54,-Titanium Dioxide (4%): Protects skin from UVA and UVB radiation.-Zinc Oxide (14%): Creates a protective barrier and deflects UVA and UVB rays off.-Hyaluronic Acid: Hydrates the skin. Titanium Dioxide (4%)- Zinc Oxide (14%) Cyclopentasiloxane- Caprylic/Capric Triglyceride- Dimethicone Crosspolymer- Diisopropyl Adipate- Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer- Silica- Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone- Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone- Water/Aqua/Eau- Arginine/Lysine Polypeptide- Camellia Sinensis Leaf Extract- Palmitoyl Dipeptide-5 Diaminobutyroyl Hydroxythreonine- Palmitoyl Dipeptide-5 Diaminohydroxybutyrate- Sodium Hyaluronate- Hydrolyzed Soy Protein- Silanetriol- Hydrolyzed Pearl- Lavendula Spica (Lavender) Flower Oil- Lavandula Hybrida Oil- Eucalyptus Globulus Leaf Oil- Sodium PCA- Polyhydroxystearic Acid- Triethoxycaprylylsilane- Stearic Acid- Aluminum Hydroxide- PEG/PPG-18/18 Dimethicone- PEG/PPG-20/15 Dimethicone- Glycerin- Phenoxyethanol- Ethylhexylglycerin- Tin Oxide- Iron Oxides (CI77491)- (CI77492)- (CI77499).,sephora,,,,https://www.sephora.com/product/skinperfect-primer-P443361?icid2=products grid:p443361,,sephora/open-dataset
Dior,Airflash Radiance Mist Primer & Setting Spray,dewy,"[""normal""]",$50-$54,Butane- Water- Propane- Methyl Trimethicone- Phenyl Trimethicone- Alcohol- Dimethicone- Silica- Isobutane- Butylene Glycol- Mica- Acrylates/Dimethicone Copolymer- Cetyl Peg/Ppg-10/1 Dimethicone- Glycerin- Phenoxyethanol- Fragrance- Alumina- Peg-10 Dimethicone- Aluminum Hydroxide- Stearic Acid- Hydroxyethylcellulose- Lecithin- Sodium Hyaluronate- Disteardimonium Hectorite- Sodium Myristoyl Glutamate- Linalool- Limonene- Artemia Extract- Citronellol- Magnesium Aspartate- Zinc Gluconate- Tin Oxide- Potassium Sorbate- Bht- Copper Gluconate- Tocopherol- Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. May Contain (+/-): Yellow 5/Yellow 5 Lake (Ci 19140)- Blue 1 Lake (Ci 42090)- Ultramarines (Ci 77007)- Bismuth Oxychloride (Ci 77163)- Iron Oxides (Ci 77491- Ci 77492- Ci 77499)- Titanium Dioxide (Ci 77891).*The ingredients in the composition of Parfums Christian Dior products are regularly updated. Before using a Parfums Christian Dior product- please read the ingredient list on its packaging to ensure that the ingredients are suitable for your personal use.,sephora,False,,,https://www.sephora.com/product/airflash-radiance-mist-primer-setting-spray-P431772?icid2=products grid:p431772,,sephora/open-dataset
Dior,BACKSTAGE Face & Body Primer,dewy,"[""normal"", ""misto""]",$35-$39,Water- Isododecane- Glycerin- Cyclopentasiloxane- Polysilicone-11- Butyrospermum Parkii (Shea) Butter- Polymethylsilsesquioxane- Peg-9 Polydimethylsiloxyethyl Dimethicone- Methyl Methacrylate Crosspolymer- Synthetic Fluorphlogopite- Phenoxyethanol- Caprylyl Glycol- Magnesium Sulfate- Sorbitan Sesquioleate- Disteardimonium Hectorite- Fragrance- Propylene Carbonate- Malva Sylvestris (Mallow) Extract- Tocopherol- Hydrogen Dimethicone- Linalool- Citric Acid- Limonene- Citronellol- Bht. May Contain (+/-): Yellow 5/Yellow 5 Lake (Ci 19140)- Blue 1 Lake (Ci 42090)- Ultramarines (Ci 77007)- Bismuth Oxychloride (Ci 77163)- Iron Oxides (Ci 77491- Ci 77492- Ci 77499)- Titanium Dioxide (Ci 77891).*The ingredients in the composition of Parfums Christian Dior products are regularly updated. Before using a Parfums Christian Dior product- please read the ingredient list on its packaging to ensure that the ingredients are suitable for your personal use.,sephora,False,,,https://www.sephora.com/product/backstage-face-body-primer-P444597?icid2=products grid:p444597,,sephora/open-dataset
Dior,Diorskin Forever & Ever Wear Makeup Primer SPF 20,natural,"[""normal"", ""misto""]",$45-$49,Cyclopentasiloxane- Aqua (Water)- Isododecane- Alcohol- Titanium Dioxide- Diphenyl Dimethicone/Vinyl Diphenyl Dimethicone/Silsesquioxane Crosspolymer- Peg-9 Polydimethylsiloxyethyl Dimethicone- Ethylhexyl Methoxycinnamate- Polysilicone-11- Methyl Methacrylate Crosspolymer- Mica- Aluminum Hydroxide- Acrylates/Dimethicone Copolymer- Isononyl Isononanoate- Phenyl Trimethicone- Silica- Butylene Glycol- Dimethicone- Disteardimonium Hectorite- Stearic Acid- Phenoxyethanol- Propylene Carbonate- Tetrasodium Edta- Parfum (Fragrance)- Algin- Rosa Multiflora Fruit Extract- Acacia Senegal Gum- Sodium Myristoyl Glutamate- Linalool- Bht- Limonene- Butylphenyl Methylpropional- Xanthan Gum- Serine- Sodium Stearate- Citronellol- Atelocollagen- Zinc Gluconate- Sodium Hyaluronate- Sodium Chloride- Tocopherol- [+/- :Ci 77491-Ci 77492 (Iron Oxides)- Ci 77891 (Titanium Dioxide)- ].,sephora,False,,,https://www.sephora.com/product/diorskin-forever-ever-wear-makeup-primer-spf-20-P405061?icid2=products grid:p405061,,sephora/open-dataset
Dr. Barbara Sturm,Anti-Aging Primer,dewy,"[""oleoso"", ""misto"", ""seco"", ""normal""]",$85-$89,-Hyaluronic Acid: Leaves the skin looking refreshed and radiant.-Purslane: A strong antioxidant that stimulates the body and supports skin health and rejuvenation.-Pearl Pigments: Provide a soft- youthful-looking glow. Water (Aqua)- Pentylene Glycol- Butylene Glycol- Sodium Polyacrylate- Lactobacillus/ Portulaca Oleracea Ferment Extract- Dimethylimidazolidinone Rice Starch- Phenoxyethanol- Synthetic Fluorphlogopite- Mica- Sodium Hyaluronate- Sodium Lactate- Sodium PCA- Ethylhexylglycerin- Phytic Acid- Leuconostoc/Radish Root Ferment Filtrate- Tin Oxide- Sodium Benzoate- Fructose- Glycine- Inositol- Lactic Acid- Niacinamide- Urea- Alcohol- Titanium Dioxide (CI 77891). Clean at Sephora products are formulated without: Sulfates—SLS + SLES- Parabens- Formaldehydes- Formaldehyde-releasing agents- Phthalates- Mineral Oil- Retinyl Palmitate- Oxybenzone- Coal Tar- Hydroquinone- Triclosan- Triclocarban- Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate- ethyl methacrylate- methyl methacrylate- butyl methacrylate- hydroxypropyl methacrylate- tetrahydrofurfuryl methacrylate- trimethylolpropane trimethacrylate - aluminum salts)- Animal Oils/Musks/Fats- Benzophenone + Related Compounds- Butoxyethanol- Carbon Black- Lead/Lead Acetate- Methyl Cellosolve + Methoxyethanol- Methylchloroisothiazolinone & Methylisothiazolinone- Mercury + Mercury Compounds (Thimerisol)- Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off )- Resorcinol- Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.)- Toluene- Butylated hydroxyanisole (BHA)- Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula- Ethanolamines DEA/TEA/MEA/ETA- Nanoparticles as defined by the European Commission- Petrolatum and Parrafin that is not USP grade- Phenoxyethanol that is 1% or more of total formulation- Polyacrylamide & Acrylamide- The following types of Styrene (Bromostyrene- Deastyrene/acrylates/dvbcopolymer- sodium styrene/divinylbenzene copolymer - styrene oxide- styrene)- 1-4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off- wiped off or removed- 3ppm or < for products that are meant to remain on the skin).,sephora,False,,,https://www.sephora.com/product/dr-barbara-sturm-anti-aging-primer-P448555?icid2=products grid:p448555,,sephora/open-dataset
Dr. Brandt Skincare,pores no more® Luminizer Primer,dewy,"[""oleoso"", ""misto"", ""seco"", ""normal""]",$35-$39,-Optical Diffusers: Blur the look of imperfections.-Illuminating Powders: Help promote natural-looking radiance and glow. -Lentil Seed Extract: Refines the appearance of pores. Water- Trimethylolpropane Tricaprylate/Tricaprate- Pentaerythrityl Tetraisostearate- Neopentyl Glycol Diethylhexanoate- Propanediol- Bis-Stearyl Dimethicone- Mica- Glycerin- Synthetic Fluorphlogopite- Polysilicone-11- Cetyl Alcohol- Dimethicone- Glyceryl Stearate- Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer- Trifluoromethyl C1-4 Alkyl Dimethicone- C30-45 Alkyl Dimethicone- Glycol Distearate- Peg-75 Stearate- Polymethylsilsesquioxane- Phenoxyethanol- Ceteth-20- Steareth-20- Lens Esculenta (Lentil) Seed Extract- Tocopheryl Acetate- Polymethyl Methacrylate- Citric Acid- Silica- Squalane- Ethylhexylglycerin- Lavandula Angustifolia (Lavender) Flower Oil- Potassium Sorbate- Disodium Edta- Polysorbate 60- Hdi/Trimethylol Hexyllactone Crosspolymer- Laureth-12- Galactoarabinan- Triethoxycaprylylsilame- Ci 77891 (Titanium Dioxide)- Ci 77491- Ci 77492- Ci77499 Iron Oxides)- Linalool.,sephora,False,,,https://www.sephora.com/product/pores-no-more-luminizer-primer-P417002?icid2=products grid:p417002,,sephora/open-dataset
Dr. Brandt Skincare,pores no more® pore refiner primer,matte,"[""oleoso"", ""misto"", ""normal""]",$45-$49,-Oil-Absorbing Spheres: Mattify skin and diffuse light to minimize the appearance of pores- expression lines- and wrinkles.-Red Clover Flower Extract: Helps shrink the look of pores over time by rebalancing skin conditions responsible for pore enlargement.-Derivative of Salicylic Acid: Gently exfoliates dead skin cells and oil build-up within pores- smooths the look of the skin’s surface- and calms skin. Cyclopentasiloxane- Water/Aqua/Eau- Dimethicone Crosspolymer- Lauryl Peg/Ppg-18/18 Methicone- Methyl Methacrylate Crosspolymer- Polymethylsilsesquioxane- Dimethicone/Vinyl Dimethicone Crosspolymer- Polysilicone-11- Titanium Dioxide (Ci 77891)- Dimethyl Isosorbide- Polymethyl Methacrylate- Phenoxyethanol- Peg/Ppg-18/18 Dimethicone- Isopentyldiol- Ethylhexyl Palmitate- Capryloyl Salicylic Acid- Chlorphenesin- Lavandula Angustifolia (Lavender) Oil- Ethylhexylglycerin- Melaleuca Alternifolia (Tea Tree) Leaf Oil- Silica- Triethoxycaprylylsilane- Hdi/Trimethylol Hexyllactone Crosspolymer- Dimethyl Oxobenzo Dioxasilane- Silica Dimethyl Silylate- Trifolium Pratense (Clover) Flower Extract- Laureth-12- Iron Oxide (Ci 77492- Ci 77491- Ci 77499).,sephora,,True,,https://www.sephora.com/product/pores-no-more-pore-refiner-primer-P139005?icid2=products grid:p139005,,sephora/open-dataset
Erborian,Extra Matte Ultra Mattifying Primer,hydrating,"[""oleoso"", ""misto"", ""seco"", ""normal""]",$40-$44,-White Water Lily: Moisturizes and mattifies. -Silica Powder: Helps absorb excess sebum and reduce the appearance of pores. -Light-reflecting Pigments: Bring radiance for a new matte effect. Cyclomethicone- Dimethicone- Water- Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer- Polymethyl Methacrylate- Dicaprylyl Carbonate- Trihydroxystearin- Silica- Dimethicone/Vinyl Dimethicone Crosspolymer- Polymethylsilsesquioxane- Isononyl Isononanoate- Trisiloxane- PEG-10 Dimethicone- Alcohol- Cetyl PEG/PPG-10/1 Dimethicone- Butylene Glycol- Bis-PEG-18 Methyl Ether Dimethyl Silane- Nymphaea Alba Flower Extract- Polysilicone-11- Dimethicone Crosspolymer- Isoceteth-10- Disodium EDTA- Mica- Ethylhexylglycerin- Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate- Tocopherol- Phenoxyethanol- Parfum/Fragrance- Hexyl Cinnamal- Alpha-Isomethyl Ionone- Linalool- Citronellol- Geraniol- Eugenol- Limonene- Cinnamyl Alcohol- CI 77891/Titanium Dioxide- CI 77510/Ferric Ferrocyanide.,sephora,False,,,https://www.sephora.com/product/extra-matte-ultra-mattifying-primer-P432657?icid2=products grid:p432657,,sephora/open-dataset
Erborian,Pink Perfect Pore Minimizing Primer,dewy,"[""oleoso"", ""misto"", ""seco"", ""normal""]",$35-$39,-Persimmon Leaf Extract (Diospyros Kaki)- Camellia Japonica Seed Oil (Camellia Japonica)- Cucurbita Pepo (Pumpkin) Seed Oil- and Salix Alba (Willow) Bark Extract: Help blur imperfections- minimize the appearance of pores- and provide a soft-focus glow. Water- Cyclomethicone- Isononyl Isononanoate- Butylene Glycol- Dipropylene Glycol- Propylene Glycol- Cetearyl Alcohol- Dimethicone- Glycerin- Dimethicone Crosspolymer- CI 77891/Titanium Dioxide- Polysorbate 80- Palmitic Acid- Glyceryl Stearate- Stearic Acid- Salix Alba (Willow) Bark Extract- Diospyros Kaki Leaf Extract- Camellia Japonica Seed Oil- Cucurbita Pepo (Pumpkin) Seed Oil- Tocopherol- Ethylhexylglycerin- Xanthan Gum- Tocopheryl Acetate- Beta-Glucan- Silica- PEG-100 Stearate- Ammonium Acryloyldimethyltaurate/ VP Copolymer- Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer- Propanediol- Mica- Isohexadecane- 1-2- Hexanediol- Phenoxyethanol- Dimethiconol- T-Butyl Alcohol- Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone- Fragrance- Hexyl Cinnamal- Alpha-Isomethyl Ionone- Linalool- Citronellol- Geraniol- Eugenol- Limonene- Cinnamyl Alcohol- CI 77491/Iron Oxides.,sephora,False,,,https://www.sephora.com/product/pink-perfect-creme-P419445?icid2=products grid:p419445,,sephora/open-dataset
Estée Lauder,The Illuminator Radiant Perfecting Primer + Finisher,dewy,"[""normal"", ""misto""]",$35-$39,Illuminating Perfecting Primer Division: El (Estee Lauder)Ingredients: Water- Peg-8 Dimethicone- Butylene Glycol- Silica- Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer- Butyrospermum Parkii (Shea Butter)- Cetearyl Alcohol- Imperata Cylindrica Root Extract- Glycerin- Pullulan- Isohexadecane- Coco-Glucoside- Dimethicone- Carbomer- Polysorbate 80- Caprylyl Glycol- Tocopheryl Acetate- Acrylates/C10-30 Alkyl Acrylate Crosspolymer- Sodium Hydroxide- Hexylene Glycol- Sodium Hyaluronate- Disodium Edta- Phenoxyethanol- [+/- Mica- Titanium Dioxide (Ci 77891)- Manganese Violet (Ci 77742)- Yellow 5 Lake (Ci 19140)- Carmine (Ci 75470)- Bismuth Oxychloride (Ci 77163)- Blue 1 Lake (Ci 42090)- Iron Oxides (Ci 77491- Ci 77492- Ci 77499)] Please be aware that ingredient lists may change or vary from time to time.� Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.,sephora,,,,https://www.sephora.com/product/the-illuminator-radiant-perfecting-primer-finisher-P422281?icid2=products grid:p422281,,sephora/open-dataset
Estée Lauder,The Mattifier Shine Control Perfecting Primer + Finisher,matte,"[""oleoso""]",$35-$39,Matte Perfecting Primer Division: El (Estee Lauder)Ingredients: Water - Dimethicone - Cyclopentasiloxane - Polysilicone-11 - Silica - Dimethicone Silylate - Sucrose - Isopentyldiol - Hypnea Musciformis (Algae) Extract - Gellidiela Acerosa (Algae) Extract - Poria Cocos Sclerotium Extract - Camellia Sinensis (Green Tea) Leaf Extract - Vitis Vinifera (Grape) Fruit Extract - Scutellaria Baicalensis Root Extract - Laminaria Saccharina Extract - Morus Bombycis (Mulberry) Root Extract - Algae Extract - Caffeine - Amorphophallus Konjac Root Powder - Peg-10 Dimethicone - Polysorbate 20 - Ammonium Acryloyldimethyltaurate/Vp Copolymer - Hdi/Trimethylol Hexyllactone Crosspolymer - Peg/Ppg-18/18 Dimethicone - Saccharide Isomerate - Laureth-7 - Sodium Hyaluronate - Stearyl Dimethicone - Butylene Glycol - Polyethylene - Isododecane - Acrylates/Ethylhexyl Acrylate Copolymer - Laureth-21 - Caprylyl Glycol - Tocopheryl Acetate - Magnesium Myristate - Magnesium Ascorbyl Phosphate - Triethoxycaprylylsilane - Hexylene Glycol - Phenoxyethanol - [+/- Titanium Dioxide (Ci 77891) - Mica - Bismuth Oxychloride (Ci 77163) - Iron Oxides (Ci 77491- Ci 77492- Ci 77499)],sephora,,,,https://www.sephora.com/product/the-mattifier-shine-control-perfecting-primer-finisher-P422280?icid2=products grid:p422280,,sephora/open-dataset
Estée Lauder,The Smoother Universal Perfecting Primer,matte,"[""normal"", ""misto""]",$35-$39,Perfecting Smoothing Primer Division: El (Estee Lauder)Ingredients: Dimethicone - Isododecane - Polysilicone-11 - Silica - Ethylhexyl Stearate - Polymethylsilsesquioxane - Prunus Armeniaca (Apricot) Kernel Oil - Coco-Caprylate/Caprate - Tocopheryl Acetate - Fragrance (Parfum) - [+/- Mica - Titanium Dioxide (Ci 77891) - Iron Oxides (Ci 77491) - Iron Oxides (Ci 77492) - Iron Oxides (Ci 77499) - Bismuth Oxychloride (Ci 77163)],sephora,False,,,https://www.sephora.com/product/the-smoother-universal-protecting-primer-P422282?icid2=products grid:p422282,,sephora/open-dataset
FARSÁLI,Liquid Glass Radiance Serum,dewy,"[""normal"", ""misto""]",$50-$54,-Hyaluronic Acid: Revitalizes and replenishes the skin’s outer layers with moisture- and diminishes the appearance of fine lines and wrinkles.-AcquaCell: Combines watermelon rind extract- lentil fruit extract- and apple extract to provide long-lasting hydration. Water- Isopentyldiol- Butylene Glycol- Dimethyl Isosorbide- PPG-24-Glycereth-24- PEG-40 Hydrogenated Castor Oil- Polyester-5- Sodium Hyaluronate- Glycerin- Citrullus Lanatus (Watermelon) Fruit Extract- Pyrus Malus (Apple) Fruit Extract- Lens Esculenta (Lentil) Fruit Extract- Sodium PCA- Sodium Lactate- Xylitylglucoside- Anhydroxylitol- Xylitol- Vanilla Planifolia Fruit Water- Citrus Aurantium Dulcis (Orange) Oil- Ammonium Acryloyldimethyltaurate/Carboxyethyl Acrylate Crosspolymer- Disodium EDTA- Ethylhexylglycerin- Hydroxyacetophenone- Phenoxyethanol- Sodium Hydroxide- Synthetic Fluorphlogopite. May Contain (+/-): Tin Oxide (Ci 77861)- Titanium Dioxide (Ci 77891)- Mica (Ci 77019)- Iron Oxides (Ci 77491- Ci 77492- Ci 77499). Clean at Sephora products are formulated without: Sulfates—SLS + SLES- Parabens- Formaldehydes- Formaldehyde-releasing agents- Phthalates- Mineral Oil- Retinyl Palmitate- Oxybenzone- Coal Tar- Hydroquinone- Triclosan- Triclocarban- Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate- ethyl methacrylate- methyl methacrylate- butyl methacrylate- hydroxypropyl methacrylate- tetrahydrofurfuryl methacrylate- trimethylolpropane trimethacrylate - aluminum salts)- Animal Oils/Musks/Fats- Benzophenone + Related Compounds- Butoxyethanol- Carbon Black- Lead/Lead Acetate- Methyl Cellosolve + Methoxyethanol- Methylchloroisothiazolinone & Methylisothiazolinone- Mercury + Mercury Compounds (Thimerisol)- Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off )- Resorcinol- Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.)- Toluene- Butylated hydroxyanisole (BHA)- Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula- Ethanolamines DEA/TEA/MEA/ETA- Nanoparticles as defined by the European Commission- Petrolatum and Parrafin that is not USP grade- Phenoxyethanol that is 1% or more of total formulation- Polyacrylamide & Acrylamide- The following types of Styrene (Bromostyrene- Deastyrene/acrylates/dvbcopolymer- sodium styrene/divinylbenzene copolymer - styrene oxide- styrene)- 1-4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off- wiped off or removed- 3ppm or < for products that are meant to remain on the skin).,sephora,False,,,https://www.sephora.com/product/liquid-glass-radiance-make-skin-serum-P443766?icid2=products grid:p443766,,sephora/open-dataset
